,name
0,arch_prctl
1,set_tid_address
2,brk
3,brk
4,open
5,read
6,mmap2
7,mprotect
8,brk
9,brk
10,sched_getaffinity
11,brk
12,faccessat
13,faccessat
14,faccessat
15,faccessat
16,faccessat
17,faccessat
18,uname
19,sched_getaffinity
20,openat
21,readv
22,readv
23,close
24,open
25,brk
26,brk
27,readv
28,readv
29,close
30,openat
31,read
32,close
33,openat
34,fstat
35,fcntl
36,getdents
37,faccessat
38,getdents
39,close
40,openat
41,read
42,close
43,openat
44,read
45,close
46,openat
47,openat
48,read
49,close
50,openat
51,read
52,close
53,openat
54,read
55,close
56,openat
57,read
58,close
59,openat
60,read
61,close
62,openat
63,read
64,close
65,openat
66,read
67,close
68,openat
69,read
70,close
71,openat
72,read
73,close
74,openat
75,read
76,close
77,openat
78,read
79,close
80,openat
81,read
82,close
83,openat
84,read
85,close
86,openat
87,read
88,close
89,openat
90,read
91,close
92,openat
93,read
94,close
95,openat
96,read
97,close
98,openat
99,read
100,close
101,openat
102,read
103,close
104,openat
105,read
106,close
107,openat
108,read
109,close
110,openat
111,read
112,close
113,openat
114,read
115,close
116,openat
117,read
118,close
119,openat
120,read
121,close
122,openat
123,read
124,close
125,openat
126,openat
127,openat
128,openat
129,openat
130,openat
131,fstatat
132,openat
133,read
134,close
135,openat
136,fstat
137,fcntl
138,close
139,openat
140,read
141,close
142,openat
143,read
144,close
145,openat
146,read
147,close
148,openat
149,openat
150,openat
151,openat
152,openat
153,openat
154,openat
155,read
156,close
157,openat
158,read
159,close
160,openat
161,read
162,close
163,openat
164,read
165,close
166,openat
167,read
168,close
169,openat
170,read
171,close
172,openat
173,read
174,close
175,openat
176,read
177,close
178,openat
179,read
180,close
181,sched_getaffinity
182,open
183,read
184,close
185,sched_getaffinity
186,sched_getaffinity
187,sched_setaffinity
188,sched_setaffinity
189,rt_sigaction
190,rt_sigaction
191,rt_sigprocmask
192,pipe2
193,rt_sigprocmask
194,clone
195,close
196,read
197,close
198,rt_sigprocmask
199,execve
200,brk
201,access
202,openat
203,openat
204,stat
205,openat
206,stat
207,openat
208,stat
209,openat
210,stat
